n;e;temp;name
65.00639;25.39328;1;Oulu Vihreäsaari satama
64.937;25.37299;1.7;Oulu Oulunsalo Pellonpää
64.50144;26.42386;2;Vaala Pelso
65.40014;26.96311;2.5;Pudasjärvi lentokenttä
64.93125;28.74672;2.7;Suomussalmi Pesiö
64.66404;28.05673;2.3;Puolanka Paljakka
65.78944;24.58278;2;Kemi Kemi-Tornio lentoasema
65.67319;24.5152;0.1;Kemi Ajos
65.84733;24.17369;3.6;Tornio Torppi
65.97684;26.36754;2.6;Ranua lentokenttä
65.57489;28.21766;3;Taivalkoski kirkonkylä
65.99334;29.22716;2.5;Kuusamo lentoasema
66.36999;29.31193;3.3;Kuusamo Kiutaköngäs
66.16616;29.15172;0.8;Kuusamo Rukatunturi
66.32027;29.39967;2.2;Kuusamo Juuma
66.52952;24.6496;2.3;Ylitornio Meltosjärvi
66.77278;23.96303;2.6;Pello kirkonkylä
66.56236;25.83814;3.4;Rovaniemi lentoasema
66.49832;25.7088;3;Rovaniemi rautatieasema
67.36663;26.62901;4;Sodankylä Tähtelä
66.57941;26.01098;2.5;Rovaniemi Apukka
66.71556;27.15912;3.4;Kemijärvi lentokenttä
67.28611;28.17691;4.1;Savukoski kirkonkylä
67.02204;27.2184;1.7;Pelkosenniemi Pyhätunturi
66.8166;28.68829;3.7;Salla kirkonkylä
67.16226;29.17766;3.5;Salla Naruska
68.06284;24.03335;-1.4;Muonio Laukukero
67.97328;24.11559;0.7;Muonio Sammaltunturi
67.99997;24.24001;3;Kittilä Matorova
67.69298;24.85455;3.7;Kittilä lentoasema
67.98721;24.24301;2.9;Kittilä Kenttärova
67.6521;24.90162;4;Kittilä kirkonkylä
68.16961;25.78316;2.8;Kittilä Pokka
67.82151;27.74635;2.5;Sodankylä Lokka
68.08422;27.18501;2.9;Sodankylä Vuotso
68.41506;27.41326;3;Inari Saariselkä matkailukeskus
68.43394;27.4441;1.3;Inari Saariselkä Kaunispää
68.478;28.30123;3.6;Inari Raja-Jooseppi
67.74858;29.61132;2.8;Salla Värriötunturi
69.04948;20.79115;2.1;Enontekiö Kilpisjärvi kyläkeskus
69.04274;20.85133;-3.1;Enontekiö Kilpisjärvi Saana
68.60301;23.57595;1.1;Enontekiö Näkkälä
68.90296;25.73646;2.8;Inari Angeli Lintupuoliselkä
68.61335;27.41897;4.4;Inari Ivalo lentoasema
69.75637;27.00678;4.7;Utsjoki Kevo
70.08203;27.8965;4.6;Utsjoki Nuorgam
69.07219;27.4925;4.1;Inari Väylä
69.14089;27.26567;4.3;Inari Kaamanen
68.84928;28.29911;4.1;Inari Nellim
69.5825;28.89409;4.1;Inari Kirakkajärvi
60.62785;25.19309;2.1;Mäntsälä Hirvihaara
60.97467;25.62025;3.4;Lahti Sopenkorpi
60.10121;25.19439;3.5;Sipoo Itätoukki
61.13663;21.51533;2.5;Rauma Pyynpää
67.95829;23.68449;2.5;Muonio kirkonkylä
64.21678;27.75194;2.9;Kajaani Petäisenniska
