objectid;id_nro;xkoord;ykoord;vaesto
22446.0;54991.0;375000.0;6681000.0;415.0
22445.0;54990.0;374000.0;6681000.0;876.0
22444.0;54989.0;373000.0;6681000.0;706.0
22443.0;54988.0;372000.0;6681000.0;9.0
22442.0;54987.0;371000.0;6681000.0;31.0
22441.0;54986.0;370000.0;6681000.0;21.0
22440.0;54985.0;369000.0;6681000.0;41.0
22438.0;54983.0;367000.0;6681000.0;25.0
22437.0;54982.0;366000.0;6681000.0;113.0
22436.0;54981.0;365000.0;6681000.0;33.0
22434.0;54979.0;363000.0;6681000.0;53.0
22433.0;54978.0;362000.0;6681000.0;73.0
22431.0;54976.0;360000.0;6681000.0;1.0
22019.0;54347.0;406000.0;6680000.0;1.0
22018.0;54346.0;405000.0;6680000.0;12.0
22017.0;54345.0;404000.0;6680000.0;21.0
22016.0;54344.0;403000.0;6680000.0;60.0
22015.0;54343.0;402000.0;6680000.0;79.0
22014.0;54342.0;401000.0;6680000.0;223.0
22013.0;54341.0;400000.0;6680000.0;82.0
22012.0;54340.0;399000.0;6680000.0;64.0
22011.0;54339.0;398000.0;6680000.0;132.0
22010.0;54338.0;397000.0;6680000.0;6.0
22009.0;54337.0;396000.0;6680000.0;29.0
22008.0;54336.0;395000.0;6680000.0;5030.0
22007.0;54335.0;394000.0;6680000.0;3576.0
22006.0;54334.0;393000.0;6680000.0;3464.0
22005.0;54333.0;392000.0;6680000.0;4.0
22004.0;54332.0;391000.0;6680000.0;909.0
22003.0;54331.0;390000.0;6680000.0;1500.0
22002.0;54330.0;389000.0;6680000.0;4668.0
22001.0;54329.0;388000.0;6680000.0;4875.0
22000.0;54328.0;387000.0;6680000.0;801.0
21999.0;54327.0;386000.0;6680000.0;2737.0
21998.0;54326.0;385000.0;6680000.0;2662.0
21997.0;54325.0;384000.0;6680000.0;1628.0
21996.0;54324.0;383000.0;6680000.0;3070.0
21995.0;54323.0;382000.0;6680000.0;6223.0
21994.0;54322.0;381000.0;6680000.0;4378.0
21993.0;54321.0;380000.0;6680000.0;2225.0
21992.0;54320.0;379000.0;6680000.0;1360.0
21991.0;54319.0;378000.0;6680000.0;1351.0
21990.0;54318.0;377000.0;6680000.0;520.0
21989.0;54317.0;376000.0;6680000.0;1837.0
21988.0;54316.0;375000.0;6680000.0;2126.0
21987.0;54315.0;374000.0;6680000.0;1458.0
21986.0;54314.0;373000.0;6680000.0;2112.0
21985.0;54313.0;372000.0;6680000.0;804.0
21984.0;54312.0;371000.0;6680000.0;18.0
21983.0;54311.0;370000.0;6680000.0;11.0
21982.0;54310.0;369000.0;6680000.0;117.0
21980.0;54308.0;367000.0;6680000.0;233.0
21979.0;54307.0;366000.0;6680000.0;70.0
21978.0;54306.0;365000.0;6680000.0;34.0
21975.0;54303.0;362000.0;6680000.0;40.0
21973.0;54301.0;360000.0;6680000.0;17.0
21563.0;53674.0;408000.0;6679000.0;10.0
21562.0;53673.0;407000.0;6679000.0;6.0
21560.0;53671.0;405000.0;6679000.0;6.0
21555.0;53666.0;400000.0;6679000.0;38.0
21554.0;53665.0;399000.0;6679000.0;3.0
21553.0;53664.0;398000.0;6679000.0;13.0
21551.0;53662.0;396000.0;6679000.0;1202.0
21550.0;53661.0;395000.0;6679000.0;7003.0
21549.0;53660.0;394000.0;6679000.0;6088.0
21548.0;53659.0;393000.0;6679000.0;8203.0
21547.0;53658.0;392000.0;6679000.0;1659.0
21546.0;53657.0;391000.0;6679000.0;2549.0
21545.0;53656.0;390000.0;6679000.0;2293.0
21544.0;53655.0;389000.0;6679000.0;4498.0
21543.0;53654.0;388000.0;6679000.0;2910.0
21542.0;53653.0;387000.0;6679000.0;2645.0
21541.0;53652.0;386000.0;6679000.0;2979.0
21540.0;53651.0;385000.0;6679000.0;4582.0
21539.0;53650.0;384000.0;6679000.0;1165.0
21538.0;53649.0;383000.0;6679000.0;1888.0
21537.0;53648.0;382000.0;6679000.0;7476.0
21536.0;53647.0;381000.0;6679000.0;1963.0
21535.0;53646.0;380000.0;6679000.0;3475.0
21534.0;53645.0;379000.0;6679000.0;2898.0
21533.0;53644.0;378000.0;6679000.0;2531.0
21532.0;53643.0;377000.0;6679000.0;1079.0
21531.0;53642.0;376000.0;6679000.0;2689.0
21530.0;53641.0;375000.0;6679000.0;2964.0
21529.0;53640.0;374000.0;6679000.0;1840.0
21528.0;53639.0;373000.0;6679000.0;2017.0
21527.0;53638.0;372000.0;6679000.0;1400.0
21526.0;53637.0;371000.0;6679000.0;131.0
21525.0;53636.0;370000.0;6679000.0;222.0
21524.0;53635.0;369000.0;6679000.0;209.0
21523.0;53634.0;368000.0;6679000.0;201.0
21522.0;53633.0;367000.0;6679000.0;236.0
21521.0;53632.0;366000.0;6679000.0;132.0
21517.0;53628.0;362000.0;6679000.0;4.0
21516.0;53627.0;361000.0;6679000.0;57.0
21515.0;53626.0;360000.0;6679000.0;99.0
21107.0;52999.0;408000.0;6678000.0;2.0
21105.0;52997.0;406000.0;6678000.0;7.0
21104.0;52996.0;405000.0;6678000.0;22.0
21099.0;52991.0;400000.0;6678000.0;23.0
21098.0;52990.0;399000.0;6678000.0;7.0
21095.0;52987.0;396000.0;6678000.0;2619.0
21094.0;52986.0;395000.0;6678000.0;1548.0
21093.0;52985.0;394000.0;6678000.0;3041.0
21092.0;52984.0;393000.0;6678000.0;4037.0
21091.0;52983.0;392000.0;6678000.0;4535.0
21090.0;52982.0;391000.0;6678000.0;3204.0
21089.0;52981.0;390000.0;6678000.0;5537.0
21088.0;52980.0;389000.0;6678000.0;4122.0
21087.0;52979.0;388000.0;6678000.0;2209.0
21086.0;52978.0;387000.0;6678000.0;4159.0
21085.0;52977.0;386000.0;6678000.0;4973.0
21084.0;52976.0;385000.0;6678000.0;5055.0
21083.0;52975.0;384000.0;6678000.0;395.0
21082.0;52974.0;383000.0;6678000.0;8284.0
21081.0;52973.0;382000.0;6678000.0;2649.0
21080.0;52972.0;381000.0;6678000.0;2589.0
21079.0;52971.0;380000.0;6678000.0;4044.0
20153.0;51603.0;362000.0;6676000.0;25.0
20152.0;51602.0;361000.0;6676000.0;35.0
20151.0;51601.0;360000.0;6676000.0;79.0
19739.0;50965.0;399000.0;6675000.0;1.0
19738.0;50964.0;398000.0;6675000.0;152.0
19737.0;50963.0;397000.0;6675000.0;9851.0
19736.0;50962.0;396000.0;6675000.0;7439.0
19735.0;50961.0;395000.0;6675000.0;4018.0
19734.0;50960.0;394000.0;6675000.0;761.0
19733.0;50959.0;393000.0;6675000.0;3226.0
19732.0;50958.0;392000.0;6675000.0;5863.0
19731.0;50957.0;391000.0;6675000.0;1546.0
19730.0;50956.0;390000.0;6675000.0;2356.0
19728.0;50954.0;388000.0;6675000.0;26.0
19727.0;50953.0;387000.0;6675000.0;6021.0
19726.0;50952.0;386000.0;6675000.0;4534.0
19725.0;50951.0;385000.0;6675000.0;3997.0
19724.0;50950.0;384000.0;6675000.0;3761.0
19723.0;50949.0;383000.0;6675000.0;8742.0
19722.0;50948.0;382000.0;6675000.0;8067.0
19721.0;50947.0;381000.0;6675000.0;1103.0
19719.0;50945.0;379000.0;6675000.0;2.0
19718.0;50944.0;378000.0;6675000.0;1251.0
19717.0;50943.0;377000.0;6675000.0;495.0
19716.0;50942.0;376000.0;6675000.0;1716.0
25691.0;59713.0;372000.0;6688000.0;15.0
25690.0;59712.0;371000.0;6688000.0;10.0
25688.0;59710.0;369000.0;6688000.0;4.0
25687.0;59709.0;368000.0;6688000.0;2.0
25686.0;59708.0;367000.0;6688000.0;2.0
25683.0;59705.0;364000.0;6688000.0;7.0
25682.0;59704.0;363000.0;6688000.0;11.0
25259.0;59074.0;408000.0;6687000.0;642.0
25258.0;59073.0;407000.0;6687000.0;14.0
25256.0;59071.0;405000.0;6687000.0;21.0
25255.0;59070.0;404000.0;6687000.0;40.0
25254.0;59069.0;403000.0;6687000.0;1.0
25253.0;59068.0;402000.0;6687000.0;2.0
25251.0;59066.0;400000.0;6687000.0;25.0
25247.0;59062.0;396000.0;6687000.0;227.0
25246.0;59061.0;395000.0;6687000.0;146.0
25245.0;59060.0;394000.0;6687000.0;7.0
25244.0;59059.0;393000.0;6687000.0;12.0
25243.0;59058.0;392000.0;6687000.0;1021.0
25242.0;59057.0;391000.0;6687000.0;4267.0
25241.0;59056.0;390000.0;6687000.0;2853.0
25240.0;59055.0;389000.0;6687000.0;784.0
25238.0;59053.0;387000.0;6687000.0;8.0
25234.0;59049.0;383000.0;6687000.0;11.0
25233.0;59048.0;382000.0;6687000.0;18.0
25232.0;59047.0;381000.0;6687000.0;272.0
25231.0;59046.0;380000.0;6687000.0;115.0
25230.0;59045.0;379000.0;6687000.0;57.0
25228.0;59043.0;377000.0;6687000.0;4.0
25227.0;59042.0;376000.0;6687000.0;310.0
25226.0;59041.0;375000.0;6687000.0;1146.0
25225.0;59040.0;374000.0;6687000.0;455.0
25224.0;59039.0;373000.0;6687000.0;16.0
25223.0;59038.0;372000.0;6687000.0;37.0
25222.0;59037.0;371000.0;6687000.0;14.0
25220.0;59035.0;369000.0;6687000.0;6.0
25215.0;59030.0;364000.0;6687000.0;4.0
25214.0;59029.0;363000.0;6687000.0;10.0
24792.0;58399.0;408000.0;6686000.0;645.0
